iter	Accuracy	MultiClass
0	0.552	1.73171239
1	0.5705	1.679648387
2	0.572	1.634266029
3	0.5745	1.594103974
4	0.5790625	1.558606389
5	0.576625	1.528267589
6	0.5804375	1.497734664
7	0.5818125	1.469717425
8	0.5848125	1.444547626
9	0.58675	1.42032748
10	0.5876875	1.398987611
11	0.58975	1.379522099
12	0.59225	1.360813097
13	0.59275	1.344422065
14	0.59575	1.326867307
15	0.5966875	1.311695399
16	0.598125	1.297279915
17	0.599625	1.283270692
18	0.6010625	1.270651794
19	0.6025625	1.258479081
20	0.60225	1.247380248
21	0.6044375	1.236298702
22	0.6044375	1.226801826
23	0.6071875	1.215690321
24	0.609375	1.205721291
25	0.61025	1.197105691
26	0.6118125	1.187449176
27	0.613375	1.179062251
28	0.614375	1.170568069
29	0.61625	1.163005946
30	0.6159375	1.155961435
31	0.6176875	1.14809441
32	0.618875	1.140785735
33	0.62025	1.133729061
34	0.6209375	1.126597212
35	0.6218125	1.119935894
36	0.6229375	1.113402912
37	0.624125	1.107586035
38	0.6246875	1.101679652
39	0.6259375	1.096708012
40	0.6271875	1.09099287
41	0.628625	1.085501719
42	0.629625	1.07945548
43	0.63025	1.074339521
44	0.63125	1.069470912
45	0.6321875	1.06433608
46	0.6333125	1.060009143
47	0.6343125	1.055625605
48	0.635875	1.051096966
49	0.636375	1.046807464
50	0.6365	1.041914429
51	0.638125	1.038217209
52	0.63875	1.033958961
53	0.6396875	1.030146393
54	0.6404375	1.02599468
55	0.6415625	1.022341355
56	0.6420625	1.018495588
57	0.642	1.015008995
58	0.6430625	1.011144581
59	0.64425	1.007719958
60	0.6455625	1.004607045
61	0.646875	1.001145959
62	0.648625	0.9975235984
63	0.649625	0.9945008444
64	0.649875	0.9904445179
65	0.6506875	0.9867795055
66	0.65125	0.9836086807
67	0.6520625	0.9801648764
68	0.6536875	0.9766984514
69	0.6545625	0.9738220821
70	0.6560625	0.9709137492
71	0.6571875	0.967693229
72	0.65875	0.9648582723
73	0.659375	0.9617406854
74	0.6603125	0.9595299756
75	0.6618125	0.956937119
76	0.662125	0.9540728762
77	0.6634375	0.9517474314
78	0.6633125	0.948447764
79	0.6648125	0.9457389018
80	0.66525	0.9426701181
81	0.6665625	0.9399674942
82	0.667	0.937182877
83	0.6673125	0.9346403426
84	0.667875	0.932398327
85	0.669375	0.9296122286
86	0.6706875	0.9266490914
87	0.6719375	0.923877201
88	0.6730625	0.9212901389
89	0.673875	0.9188540361
90	0.6740625	0.9166753878
91	0.67475	0.9142919096
92	0.675375	0.9121010255
93	0.677	0.9102065506
94	0.6773125	0.9078376862
95	0.6785625	0.9053169234
96	0.679375	0.9031733832
97	0.681	0.9004859464
98	0.6809375	0.8981255742
99	0.6818125	0.8959349198
100	0.68225	0.8937099281
101	0.6838125	0.8912361189
102	0.684875	0.8886325521
103	0.685375	0.8862889793
104	0.6859375	0.8840738579
105	0.6866875	0.8825555538
106	0.688125	0.8800917093
107	0.689375	0.8781480223
108	0.6895625	0.8761668245
109	0.69075	0.8738549929
110	0.691375	0.8720227042
111	0.6923125	0.8696903524
112	0.693375	0.8672905827
113	0.6945625	0.8656135207
114	0.6950625	0.8636623771
115	0.6964375	0.8617206336
116	0.696625	0.8597947628
117	0.69725	0.8579375382
118	0.69825	0.8557838145
119	0.6988125	0.8538953197
120	0.70025	0.852125241
121	0.700375	0.8503233884
122	0.7016875	0.8479647604
123	0.7028125	0.8457712401
124	0.7030625	0.8439369885
125	0.7033125	0.8423142746
126	0.7043125	0.8405678749
127	0.705125	0.8385909267
128	0.70525	0.8370612472
129	0.706125	0.8349491163
130	0.707	0.8332656407
131	0.7079375	0.8311835724
132	0.7091875	0.8289089023
133	0.7093125	0.8270318416
134	0.71025	0.8253846755
135	0.710625	0.8240552131
136	0.7113125	0.8223539318
137	0.7120625	0.8203227213
138	0.712625	0.8185752766
139	0.714	0.8166867589
140	0.714625	0.8150218035
141	0.7145	0.8136614143
142	0.716	0.8117793189
143	0.7165625	0.8104761362
144	0.7170625	0.8085781398
145	0.717625	0.8073381299
146	0.7184375	0.8059758822
147	0.719625	0.8044582515
148	0.7205625	0.8027935791
149	0.721125	0.8015005703
150	0.7214375	0.8000588643
151	0.721625	0.7989140664
152	0.7224375	0.7974308326
153	0.7230625	0.7957354074
154	0.7241875	0.7943357696
155	0.7245625	0.7926575958
156	0.7255	0.7912367416
157	0.72625	0.7899431455
158	0.72675	0.7883312888
159	0.72775	0.7867551037
160	0.7288125	0.784776573
161	0.7293125	0.7833453723
162	0.73	0.7819108412
163	0.73025	0.7809537812
164	0.73075	0.7794767671
165	0.7315625	0.7777782814
166	0.7324375	0.7765415079
167	0.73275	0.7753271188
168	0.7335	0.7739672886
169	0.734125	0.7727117074
170	0.7350625	0.7705988371
171	0.7356875	0.7691652474
172	0.7358125	0.7677418937
173	0.73625	0.766349336
174	0.7375625	0.7648973958
175	0.7381875	0.7635288568
176	0.7391875	0.7623657876
177	0.7401875	0.7608211531
178	0.7405625	0.7594082311
179	0.7415	0.7578305829
180	0.7419375	0.7565117998
181	0.742875	0.755420947
182	0.7429375	0.7537883755
183	0.744125	0.7519200646
184	0.7445	0.750716452
185	0.74525	0.7493685158
186	0.7455	0.7478305823
187	0.746625	0.7461574635
188	0.7474375	0.7442851443
189	0.74875	0.7431957139
190	0.7498125	0.7417755914
191	0.750125	0.7405342812
192	0.7511875	0.7386234613
193	0.7525	0.736819353
194	0.7525	0.7357649763
195	0.75325	0.7343111861
196	0.7544375	0.7330373968
197	0.755	0.7318554498
198	0.756375	0.7300406613
199	0.75675	0.7287871044
200	0.7573125	0.7273188364
201	0.7589375	0.7260037617
202	0.75925	0.7245745881
203	0.7596875	0.7234765763
204	0.760875	0.7221932115
205	0.761	0.7210017334
206	0.761125	0.719925021
207	0.76225	0.7183777519
208	0.7624375	0.7171644829
209	0.763375	0.7158448746
210	0.7645	0.7148010855
211	0.76475	0.7135184644
212	0.76525	0.7124004727
213	0.7650625	0.7110330081
214	0.765375	0.7097318143
215	0.766125	0.7084176408
216	0.7665625	0.7072884163
217	0.7669375	0.7064268168
218	0.768125	0.705116634
219	0.7689375	0.7036221218
220	0.76975	0.7024671833
221	0.769125	0.7013649259
222	0.770375	0.7001752721
223	0.770375	0.6991892634
224	0.7708125	0.6980231175
225	0.7714375	0.6969879835
226	0.771375	0.6957725678
227	0.7720625	0.6943684909
228	0.7728125	0.6933595793
229	0.7736875	0.6920795862
230	0.7745625	0.6905415104
231	0.7745625	0.6893646608
232	0.7749375	0.6881716778
233	0.7760625	0.6869318966
234	0.7765625	0.6856513571
235	0.776875	0.6847336659
236	0.77775	0.6832980286
237	0.777875	0.6820206013
238	0.779375	0.680662491
239	0.7805	0.6797124187
240	0.78075	0.6781829507
241	0.781125	0.6765994884
242	0.7815	0.6754854607
243	0.781875	0.6742988618
244	0.78225	0.6731627129
245	0.7831875	0.6717452196
246	0.783375	0.6709562112
247	0.7840625	0.6700107317
248	0.78475	0.6687423296
249	0.784875	0.6678880358
250	0.7853125	0.6666043451
251	0.7855625	0.6657070448
252	0.78625	0.6648920194
253	0.786875	0.6638593889
254	0.7874375	0.6628770009
255	0.787875	0.661507829
256	0.7881875	0.6605221066
257	0.7885	0.6596679189
258	0.7893125	0.6589380709
259	0.7895625	0.6582092122
260	0.7895625	0.657197304
261	0.7899375	0.6561458186
262	0.791	0.6551223494
263	0.7911875	0.6540251912
264	0.7916875	0.6533259646
265	0.79225	0.6520241856
266	0.7935	0.6505257356
267	0.7935625	0.6498710901
268	0.7945625	0.6488106938
269	0.7946875	0.6482244122
270	0.795125	0.6472410994
271	0.7954375	0.6464200287
272	0.7958125	0.6455615041
273	0.796375	0.6444255166
274	0.797125	0.6429753979
275	0.797375	0.6422844237
276	0.7978125	0.6413704465
277	0.7983125	0.6403965848
278	0.7993125	0.639330705
279	0.7985	0.6386430927
280	0.7988125	0.6376724745
281	0.7994375	0.636533946
282	0.8001875	0.6356965084
283	0.8004375	0.6349254658
284	0.800875	0.6337600495
285	0.802375	0.6323770853
286	0.8026875	0.6312101682
287	0.8031875	0.630391363
288	0.80375	0.6293079619
289	0.80425	0.6281632067
290	0.8044375	0.6275218166
291	0.8055	0.626611363
292	0.8055625	0.6259224308
293	0.8060625	0.6247334817
294	0.80625	0.6239369083
295	0.8065	0.6230669572
296	0.8070625	0.6221901168
297	0.8064375	0.6214854626
298	0.8069375	0.6207656606
299	0.8075625	0.6196709055
300	0.8086875	0.6187066658
301	0.809125	0.6177168365
302	0.809625	0.616625981
303	0.8101875	0.6158589222
304	0.8103125	0.615169275
305	0.8113125	0.6142164949
306	0.8116875	0.6134074738
307	0.8115625	0.6124071143
308	0.8119375	0.6116388185
309	0.8120625	0.6107382147
310	0.8128125	0.6098337843
311	0.8135	0.608999056
312	0.813875	0.6083678694
313	0.8145	0.6074978536
314	0.8150625	0.6068011621
315	0.8151875	0.6056122675
316	0.8148125	0.6051501991
317	0.8156875	0.6044962394
318	0.8161875	0.6037836981
319	0.816375	0.6028874267
320	0.8169375	0.602199832
321	0.8175625	0.6012259169
322	0.8175	0.6004571842
323	0.818125	0.5994270468
324	0.8186875	0.5984119504
325	0.8190625	0.5979085297
326	0.819375	0.5967776585
327	0.8196875	0.596214734
328	0.8204375	0.5952704352
329	0.8203125	0.5945471772
330	0.8205625	0.5939347788
331	0.8208125	0.5928930643
332	0.82125	0.5920806468
333	0.821125	0.5913606197
334	0.8218125	0.5905661467
335	0.822625	0.5897049074
336	0.82325	0.5887752419
337	0.8235625	0.5875734718
338	0.8234375	0.5868133702
339	0.82375	0.5861956177
340	0.824375	0.5855615666
341	0.82475	0.5846590013
342	0.824875	0.5840865163
343	0.8250625	0.5834976665
344	0.8256875	0.5824668333
345	0.8261875	0.5812921489
346	0.8266875	0.5807453522
347	0.8271875	0.5797874582
348	0.82775	0.5787290674
349	0.8279375	0.5778816649
350	0.8289375	0.5768787176
351	0.8291875	0.575996033
352	0.82975	0.5752419197
353	0.8303125	0.5742425189
354	0.8315	0.5735148287
355	0.8313125	0.5728189205
356	0.8321875	0.5718656969
357	0.83275	0.57054923
358	0.833	0.5696462771
359	0.833375	0.5690436122
360	0.8334375	0.5681142407
361	0.834125	0.5675001833
362	0.8335	0.5668989774
363	0.834125	0.566300761
364	0.8344375	0.565489793
365	0.835125	0.5645626567
366	0.8361875	0.5636999599
367	0.836625	0.5628142737
368	0.837	0.5623157686
369	0.838	0.5613710242
370	0.8385625	0.56062524
371	0.8386875	0.5600721595
372	0.8395625	0.5592408429
373	0.8398125	0.5588178272
374	0.8399375	0.5582396638
375	0.84	0.5575258601
376	0.8404375	0.5568563998
377	0.8410625	0.5558907754
378	0.84175	0.5551220775
379	0.8418125	0.5544857417
380	0.8421875	0.553879671
381	0.843125	0.5530795605
382	0.8433125	0.5523989595
383	0.8436875	0.5514736632
384	0.8443125	0.5509034475
385	0.844625	0.5504199151
386	0.845125	0.5494330206
387	0.8459375	0.5487261298
388	0.8459375	0.5480894616
389	0.8465	0.5473860188
390	0.84675	0.546707145
391	0.8469375	0.5460520881
392	0.8474375	0.5449199736
393	0.8479375	0.5442719735
394	0.8483125	0.5435704424
395	0.84875	0.5429049062
396	0.848875	0.542400535
397	0.8491875	0.5418389549
398	0.850375	0.5408781203
399	0.8505	0.54026011
400	0.851375	0.5394432814
401	0.8514375	0.5388957863
402	0.851625	0.5379941599
403	0.8525	0.5371681163
404	0.8526875	0.5366616164
405	0.8530625	0.5357327511
406	0.8533125	0.5348252856
407	0.8538125	0.5340590205
408	0.854375	0.5332112818
409	0.8551875	0.5325188254
410	0.8556875	0.5318897528
411	0.8558125	0.5312637489
412	0.856125	0.5307116529
413	0.8561875	0.5298700459
414	0.8568125	0.5293284359
415	0.857375	0.528617918
416	0.8580625	0.5277691963
417	0.8584375	0.5269737247
418	0.85875	0.5261783361
419	0.8590625	0.525387665
420	0.8595	0.5249064947
421	0.8598125	0.5244437185
422	0.8601875	0.5238788917
423	0.860625	0.5232861115
424	0.860875	0.5226317519
425	0.8608125	0.5220682448
426	0.8613125	0.5212918133
427	0.861875	0.5206240541
428	0.862	0.5200096305
429	0.86275	0.5192375265
430	0.8633125	0.5186469205
431	0.863875	0.5177227696
432	0.86475	0.517144486
433	0.8644375	0.51638926
434	0.8648125	0.5158825917
435	0.865375	0.515325744
436	0.8655	0.51484495
437	0.866	0.5140141291
438	0.8665	0.5130954662
439	0.8666875	0.5126130645
440	0.8669375	0.5118758544
441	0.8675625	0.5113084736
442	0.8675625	0.5108122304
443	0.867875	0.5103883344
444	0.868125	0.5098635779
445	0.86875	0.5091539301
446	0.869375	0.5085082217
447	0.8695	0.5078187693
448	0.8699375	0.5070594457
449	0.870125	0.5063749573
450	0.8704375	0.5056742511
451	0.87075	0.505040338
452	0.870875	0.5044772156
453	0.8714375	0.5036498026
454	0.8714375	0.503048312
455	0.87175	0.5025370354
456	0.872625	0.5017098039
457	0.8729375	0.5009784676
458	0.8731875	0.5003568669
459	0.8731875	0.4998217141
460	0.8734375	0.4990254834
461	0.874125	0.4984132646
462	0.874625	0.4976732049
463	0.875375	0.4970903981
464	0.8755625	0.4964298309
465	0.8760625	0.4958904336
466	0.87625	0.4953370403
467	0.8766875	0.4944818653
468	0.876875	0.4939124289
469	0.8773125	0.4934469104
470	0.87775	0.4926581765
471	0.87775	0.4922557339
472	0.8780625	0.4914831462
473	0.8785	0.4908629727
474	0.8785	0.4904802966
475	0.878875	0.489929771
476	0.8793125	0.4894989902
477	0.8796875	0.4890901791
478	0.879875	0.4886693783
479	0.880125	0.4881600518
480	0.8801875	0.4877559388
481	0.8805625	0.4871343738
482	0.8806875	0.4868288364
483	0.881125	0.4863460662
484	0.8818125	0.4857802631
485	0.88175	0.4851125331
486	0.8815	0.4848647197
487	0.882625	0.4843184432
488	0.8824375	0.483590798
489	0.882625	0.4830690219
490	0.8828125	0.4824615246
491	0.8830625	0.4818434255
492	0.8838125	0.4813728209
493	0.8839375	0.4807342136
494	0.8838125	0.4802811417
495	0.884	0.4799916792
496	0.8843125	0.4792546235
497	0.8846875	0.4787452148
498	0.884625	0.478158198
499	0.88475	0.4777821231
