iter	Passed	Remaining
0	3875	1934038
1	7578	1886975
2	11357	1881484
3	15173	1881457
4	18958	1876873
5	22684	1867702
6	26350	1855825
7	30056	1848455
8	33719	1839593
9	37421	1833672
10	41070	1825761
11	44688	1817341
12	48368	1811976
13	52098	1808570
14	55801	1804234
15	59430	1797770
16	63069	1791927
17	66710	1786367
18	70386	1781892
19	74100	1778411
20	77736	1773136
21	81421	1769061
22	85007	1762974
23	88715	1759516
24	92641	1760182
25	96266	1755011
26	99969	1751315
27	103600	1746407
28	107232	1741605
29	110844	1736568
30	114498	1732250
31	118216	1728917
32	121976	1726150
33	125642	1722038
34	129261	1717332
35	132974	1713897
36	136605	1709415
37	140339	1706229
38	144021	1702409
39	147633	1697783
40	151331	1694171
41	155046	1690742
42	158712	1686777
43	162422	1683282
44	166366	1682150
45	170150	1679310
46	174499	1681880
47	178563	1681470
48	182230	1677267
49	185903	1673127
50	189718	1670267
51	193625	1668154
52	197698	1667380
53	201477	1664053
54	205266	1660791
55	208981	1656926
56	212827	1654077
57	216626	1650840
58	220407	1647449
59	224216	1644253
60	228435	1643984
61	232538	1642771
62	236912	1643347
63	241167	1642953
64	244949	1639279
65	248674	1635225
66	252287	1630456
67	255919	1625842
68	259602	1621576
69	263185	1616709
70	266890	1612622
71	270485	1607884
72	274172	1603718
73	277840	1599462
74	281448	1594875
75	285030	1590170
76	288639	1585643
77	292315	1581501
78	295952	1577163
79	299580	1572796
80	303293	1568890
81	306916	1564527
82	310457	1559769
83	314139	1555738
84	317778	1551509
85	321476	1547574
86	325206	1543796
87	328931	1539995
88	332552	1535718
89	336185	1531512
90	339788	1527183
91	343479	1523256
92	347153	1519263
93	350788	1515106
94	354461	1511124
95	358189	1507381
96	361768	1503016
97	365457	1499122
98	369141	1495210
99	372750	1491003
100	376381	1486892
101	380125	1483232
102	383762	1479163
103	387413	1475152
104	391127	1471384
105	394706	1467118
106	398418	1463350
107	402045	1459274
108	405659	1455162
109	409303	1451167
110	412974	1447270
111	416650	1443397
112	420330	1439540
113	423963	1435526
114	427623	1431609
115	431161	1427294
116	434854	1423498
117	438467	1419445
118	442138	1415586
119	445795	1411686
120	449454	1407794
121	453065	1403761
122	456813	1400151
123	460521	1396420
124	464187	1392562
125	467843	1388677
126	471431	1384597
127	475026	1380544
128	478556	1376314
129	482243	1372537
130	485973	1368886
131	489880	1365726
132	494036	1363244
133	497941	1360048
134	501724	1356514
135	505344	1352539
136	508992	1348644
137	512699	1344907
138	516393	1341137
139	520034	1337231
140	523596	1333128
141	527139	1328986
142	530855	1325281
143	534446	1321269
144	538107	1317436
145	541666	1313354
146	545290	1309439
147	548981	1305685
148	552605	1301774
149	556161	1297711
150	559807	1293860
151	563353	1289782
152	567025	1285999
153	570783	1282409
154	574387	1278476
155	578066	1274709
156	581690	1270826
157	585306	1266929
158	588919	1263028
159	592567	1259204
160	596304	1255572
161	599899	1251641
162	603515	1247758
163	607050	1243713
164	610712	1239931
165	614342	1236085
166	617923	1232146
167	621454	1228112
168	625112	1224332
169	628699	1220416
170	632459	1216836
171	636081	1212992
172	639705	1209154
173	643309	1205280
174	646943	1201466
175	650528	1197563
176	654094	1193630
177	657778	1189914
178	661386	1186061
179	665045	1182303
180	668681	1178505
181	672234	1174563
182	675868	1170766
183	679555	1167062
184	683173	1163240
185	686878	1159569
186	691300	1157096
187	695276	1153863
188	698982	1150176
189	702935	1146894
190	706694	1143291
191	710507	1139772
192	714302	1136222
193	718077	1132637
194	721878	1129091
195	725889	1125868
196	729838	1122543
197	733647	1118997
198	737719	1115847
199	742444	1113667
200	746463	1110410
201	750149	1106656
202	753794	1102842
203	757781	1099526
204	761570	1095917
205	765234	1092131
206	768916	1088369
207	772618	1084638
208	776480	1081128
209	780267	1077512
210	783831	1073589
211	787492	1069801
212	791521	1066510
213	795169	1062703
214	799024	1059172
215	802742	1055457
216	807797	1053487
217	812521	1051059
218	816622	1047811
219	820700	1044528
220	824837	1041311
221	828829	1037903
222	832953	1034654
223	837339	1031721
224	841400	1028378
225	845982	1025660
226	850268	1022569
227	855252	1020300
228	859280	1016877
229	862883	1012949
230	866517	1009061
231	870431	1005498
232	874074	1001621
233	878100	998182
234	881915	994500
235	885570	990638
236	889690	987293
237	893560	983667
238	897276	979871
239	900897	975972
240	904806	972385
241	908759	968842
242	912640	965220
243	916469	961541
244	920141	957697
245	924047	954097
246	927925	950466
247	932311	947348
248	935931	943448
249	939694	939694
250	943851	936330
251	947647	932605
252	951675	929106
253	955373	925282
254	959128	921515
255	963324	918168
256	967136	914452
257	971182	910954
258	975056	907292
259	979046	903734
260	982806	899964
261	986534	896164
262	990496	892577
263	994200	888754
264	997761	884807
265	1001660	881159
266	1005487	877447
267	1009293	873716
268	1012933	869842
269	1016549	865949
270	1020368	862230
271	1024116	858450
272	1027898	854699
273	1031560	850849
274	1035526	847248
275	1039281	843474
276	1042953	839634
277	1046653	835816
278	1050483	832103
279	1054265	828351
280	1057908	824491
281	1061657	820714
282	1065374	816912
283	1069424	813364
284	1073087	809521
285	1076965	805841
286	1081561	802692
287	1085473	799028
288	1089530	795470
289	1093356	791741
290	1096875	787790
291	1100540	783946
292	1104025	779977
293	1107649	776108
294	1111129	772140
295	1114714	768249
296	1118280	764346
297	1121805	760418
298	1125317	756484
299	1128923	752615
300	1132472	748710
301	1136010	744801
302	1139622	740942
303	1143219	737075
304	1146755	733171
305	1150320	729288
306	1153884	725406
307	1157486	721550
308	1161107	717706
309	1164705	713851
310	1168240	709959
311	1171866	706124
312	1175415	702244
313	1178915	698338
314	1182443	694450
315	1186040	690605
316	1189568	686722
317	1193025	682800
318	1196557	678924
319	1200149	675083
320	1203633	671184
321	1207238	667355
322	1210793	663499
323	1214423	659687
324	1217933	655810
325	1221435	651931
326	1225174	648180
327	1228666	644300
328	1232296	640494
329	1235881	636666
330	1239365	632787
331	1243034	629005
332	1246591	625167
333	1250180	621347
334	1253727	617507
335	1257271	613668
336	1260858	609851
337	1264437	606032
338	1268002	602207
339	1271512	598358
340	1275057	594528
341	1278676	590733
342	1282191	586892
343	1285744	583070
344	1289302	579251
345	1292958	575478
346	1296466	571640
347	1300071	567847
348	1303713	564070
349	1307255	560252
350	1310869	556466
351	1314423	552655
352	1317974	548844
353	1321669	545095
354	1325219	541286
355	1328725	537461
356	1332377	533697
357	1336076	529951
358	1339759	526200
359	1343533	522485
360	1347702	518921
361	1351696	515287
362	1355759	511677
363	1359907	508097
364	1364195	504565
365	1367970	500841
366	1371806	497139
367	1375294	493312
368	1378834	489505
369	1383356	486044
370	1387586	482476
371	1391519	478802
372	1395050	474990
373	1398423	471126
374	1401830	467276
375	1405340	463463
376	1408807	459637
377	1412314	455826
378	1415793	452007
379	1419241	448181
380	1422678	444353
381	1426364	440604
382	1429947	436824
383	1433650	433082
384	1437074	429255
385	1440573	425454
386	1444152	421677
387	1447709	417895
388	1451260	414113
389	1454845	410341
390	1458404	406562
391	1461909	402771
392	1465609	399033
393	1469163	395257
394	1472676	391470
395	1476278	387709
396	1479911	383956
397	1483403	380168
398	1486978	376403
399	1490551	372637
400	1494261	368907
401	1497841	365145
402	1501478	361398
403	1505054	357636
